v1,rcid1,rcid2
404,3853,3881
405,3858,3951
406,3894,4026
407,3895,4027
408,3896,4028
409,3910,4029
410,3923,3977
411,3925,3978
412,3926,3979
413,3950,4002
414,3951,4001
415,3953,4003
416,3964,4039
417,3967,4065
418,3968,4066
419,3971,4069
420,3976,4045
421,3978,4046
422,3979,4047
423,3980,4048
424,4003,4091
425,4013,4071
426,4014,4072
427,4015,4073
428,4016,4074
429,4017,4075
430,4018,4076
431,4019,4077
432,4020,4078
433,4023,4081
434,4026,4082
435,4029,4085
436,4030,4086
437,4031,4105
438,4108,4169
439,4113,4172
440,4114,4173
441,4115,4174
442,4116,4175
443,4120,4202
444,4121,4203
445,4122,4204
446,4123,4205
447,4124,4206
448,4125,4207
449,4129,4211
450,4130,4212
451,4131,4213
452,4134,4216
453,4137,4180
454,4138,4181
455,4156,4197
456,4159,4220
457,4160,4225
458,4161,4224
459,4167,4236
460,4169,4241
461,4172,4263
462,4173,4264
463,4174,4265
464,4175,4266
465,4176,4267
466,4179,4242
467,4180,4243
468,4181,4244
469,4201,4283
470,4202,4284
471,4203,4285
472,4205,4287
473,4206,4288
474,4207,4289
475,4208,4290
476,4209,4291
477,4211,4293
478,4212,4294
479,4213,4295
480,4215,4299
481,4216,4297
482,4219,4270
483,4236,4304
484,4241,4306
485,4242,4309
486,4243,4310
487,4244,4311
488,4260,4325
489,4263,4326
490,4264,4327
491,4265,4328
492,4266,4329
493,4267,4330
494,4271,4350
495,4275,4355
496,4276,4360
497,4277,4354
498,4278,4352
499,4280,4363
500,4283,4333
501,4284,4334
502,4285,4335
503,4287,4337
504,4288,4338
505,4289,4339
506,4290,4340
507,4291,4341
508,4293,4343
509,4294,4344
510,4295,4345
511,4296,4346
512,4297,4347
513,4299,4348
514,4304,4366
515,4306,4374
516,4309,4376
517,4310,4377
518,4311,4378
519,4325,4396
520,4327,4403
521,4334,4405
522,4343,4414
523,4344,4415
524,4345,4416
525,4346,4417
526,4347,4418
527,4348,4419
528,4355,4433
529,4366,4442
530,4374,4519
531,4377,4520
532,4383,4498
533,4390,4504
534,4391,4503
535,4396,4509
536,4397,4499
537,4402,4513
538,4403,4512
539,4404,4490
540,4408,4486
541,4413,4488
542,4414,4480
543,4416,4481
544,4417,4479
545,4418,4478
546,4427,4454
547,4429,4458
548,4433,4461
549,4434,4470
550,4458,4540
551,4470,4536
552,4477,4546
553,4479,4549
554,4486,4557
555,4489,4550
556,4492,4563
557,4497,4561
558,4498,4577
559,4501,4575
560,4506,4570
561,4507,4579
562,4508,4576
563,4509,4571
564,4536,4612
565,4539,4611
566,4549,4652
567,4550,4650
568,4551,4651
569,4552,4649
570,4556,4645
571,4558,4657
572,4559,4643
573,4563,4656
574,4570,4639
575,4571,4640
576,4576,4621
577,4577,4627
578,4579,4623
579,4580,4622
580,4582,4660
581,4586,4661
582,4590,4664
583,4612,4727
584,4613,4735
585,4615,4737
586,4618,4700
587,4621,4699
588,4622,4698
589,4623,4697
590,4625,4701
591,4627,4693
592,4628,4692
593,4630,4687
594,4636,4684
595,4643,4716
596,4646,4717
597,4647,4718
598,4649,4720
599,4651,4722
600,4660,4672
601,4662,4674
602,4664,4668
603,4668,4754
604,4669,4783
605,4671,4779
606,4677,4777
607,4679,4761
608,4681,4756
609,4682,4758
610,4683,4760
611,4684,4759
612,4693,4763
613,4694,4769
614,4695,4775
615,4697,4757
616,4698,4755
617,4700,4770
618,4701,4768
619,4703,4776
620,4704,4778
621,4705,4789
622,4708,4797
623,4709,4792
624,4712,4785
625,4716,4791
626,4717,4790
627,4718,4795
